Coefficient of Variation,Mean,Standard Deviation,Ratio of Assigned CourseSeats,Allocation Type
0.3774905965694941,0.6180149711399712,0.23329484014450638,0.8956521739130435,Random from applications
0.5383693354799867,0.5140534812409813,0.27675063109688086,0.8956521739130435,Random from applications
0.4469762211841344,0.5797957251082251,0.2591549022675896,0.8956521739130435,Random from applications
0.31645080286094623,0.6007034632034631,0.19009309321208678,0.8956521739130435,Random from applications
0.40313493763305003,0.5950238997113997,0.23987492270032934,0.8956521739130435,Random from applications
0.4544889741294296,0.5578575937950937,0.2535401255142442,0.8956521739130435,Random from applications
0.2819285071622328,0.6168380230880232,0.17390422301010924,0.8956521739130435,Random from applications
0.291104254996053,0.5782647907647908,0.1683353411060329,0.8956521739130435,Random from applications
0.33257724020793333,0.5735457251082251,0.19074825438955148,0.8956521739130435,Random from applications
0.3087975177438117,0.6068858225108225,0.18740483554525345,0.8956521739130435,Random from applications
0.32309071998091005,0.6367604617604617,0.20573139604556434,0.8956521739130435,Random from applications
0.3501999855768247,0.5950058621933622,0.20837104435824158,0.8956521739130435,Random from applications
0.45347430914557596,0.5481849747474747,0.24858780270759612,0.8956521739130435,Random from applications
0.36745587566719073,0.5690949675324676,0.20911728963243434,0.8956521739130435,Random from applications
0.29844992999523057,0.6416012806637805,0.19148585729895556,0.8956521739130435,Random from applications
0.3464459584959554,0.6028679653679653,0.20886117010841118,0.8956521739130435,Random from applications
0.3732962741167128,0.6055239898989899,0.22603984931757898,0.8956521739130435,Random from applications
0.27494114530082836,0.6137626262626262,0.16874859940749073,0.8956521739130435,Random from applications
0.31156923282696675,0.5907828282828284,0.18406975257542646,0.8956521739130435,Random from applications
0.37658413329242796,0.5883522727272726,0.22156413069563016,0.8956521739130435,Random from applications
0.3608056579484087,0.6077290764790765,0.21927208929341196,0.8956521739130435,Random from applications
0.34104374885218675,0.5863884379509379,0.19998411116236575,0.8956521739130435,Random from applications
0.432134669005323,0.632449494949495,0.2733033531625837,0.8956521739130435,Random from applications
0.3483932284023535,0.6149147727272728,0.21423214286275405,0.8956521739130435,Random from applications
0.2203546662561167,0.6323638167388167,0.1393443177899261,0.8956521739130435,Random from applications
0.4024034251896569,0.5540268759018758,0.22294231251003982,0.8956521739130435,Random from applications
0.5100323257029782,0.5233405483405484,0.2669205970048018,0.8956521739130435,Random from applications
0.39080109239068167,0.5913780663780664,0.23111119435643743,0.8956521739130435,Random from applications
0.4041339495539379,0.5731376262626262,0.2316243725394839,0.8956521739130435,Random from applications
0.3040015228445488,0.6043808621933622,0.1837327024848835,0.8956521739130435,Random from applications
0.34023371494727195,0.6257530663780664,0.21290229041345637,0.8956521739130435,Random from applications
0.43995739144811313,0.5794304653679654,0.2549247160688563,0.8956521739130435,Random from applications
